iter	Passed	Remaining
0	0	98
1	2	105
2	3	107
3	4	96
4	4	93
5	6	96
6	7	98
7	8	98
8	9	97
9	10	94
10	11	90
11	12	89
12	13	88
13	14	88
14	15	89
15	16	88
16	17	87
17	18	85
18	19	83
19	20	83
20	22	83
21	23	82
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	32	71
31	32	70
32	33	68
33	34	67
34	35	65
35	36	65
36	37	63
37	38	63
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	46
53	52	44
54	53	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	64	30
68	65	29
69	67	28
70	68	27
71	69	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	94	0
